               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.061493,             0.12207,           0.0061932,             0.44116,             0.86019,             0.61099,             0.25794,            0.064763,            0.089453,           0.0044678,            0.033433,           0.0064328,           0.0064328
                  37,            0.066372,             0.12061,           0.0062415,             0.48383,             0.84715,             0.62417,             0.29814,              0.0609,            0.085508,           0.0043335,            0.031584,           0.0065842,           0.0065842
                  38,            0.064378,             0.12435,           0.0061184,             0.50174,              0.8632,             0.72084,             0.27191,            0.062441,            0.087773,           0.0042465,            0.029734,           0.0067344,           0.0067344
                  39,            0.061821,             0.11958,           0.0056973,             0.56887,             0.77937,             0.64461,             0.26975,            0.063464,             0.08957,           0.0043282,            0.027883,           0.0068833,           0.0068833
                  40,            0.062027,             0.11162,           0.0053621,             0.70556,             0.71797,             0.76736,             0.25866,            0.065619,            0.092734,           0.0047997,            0.026031,           0.0070308,           0.0070308
                  41,            0.061749,               0.122,           0.0051336,             0.75312,             0.74363,             0.84377,             0.32398,            0.057939,            0.086777,           0.0040863,            0.024177,            0.007177,            0.007177
                  42,            0.065656,             0.11549,           0.0051666,             0.48855,             0.84754,             0.64554,              0.2834,            0.055061,            0.084209,           0.0041519,            0.022322,           0.0073219,           0.0073219
                  43,            0.063218,             0.11362,           0.0051954,             0.57774,               0.779,             0.69771,             0.31816,            0.062982,            0.084707,           0.0034225,            0.020465,           0.0074655,           0.0074655
                  44,            0.064485,             0.11832,           0.0049326,             0.65287,             0.75065,             0.78121,             0.31241,            0.054947,            0.079805,           0.0030655,            0.018608,           0.0076077,           0.0076077
                  45,            0.063086,             0.12372,           0.0046423,             0.57238,             0.79416,             0.79566,             0.36619,            0.052423,            0.078203,           0.0028496,            0.016749,           0.0077486,           0.0077486
                  46,            0.061163,             0.11199,            0.004304,             0.74389,             0.77468,              0.8088,             0.42931,            0.056096,            0.082324,            0.002961,            0.014888,           0.0078883,           0.0078883
                  47,            0.060658,              0.1063,            0.004384,             0.62142,             0.76169,             0.73064,             0.28415,            0.058882,            0.083008,           0.0028389,            0.013027,           0.0080266,           0.0080266
                  48,            0.061472,             0.11383,           0.0039895,             0.67549,             0.73908,             0.81719,             0.35968,            0.052721,            0.082207,           0.0027229,            0.011164,           0.0081635,           0.0081635
                  49,            0.061753,             0.11592,           0.0037175,             0.64318,              0.7043,             0.77394,             0.34169,            0.052666,            0.082236,           0.0025959,           0.0092992,           0.0082992,           0.0082992
